Status Code		Status Name 

100			Continue
101			Switching Protocols

200			Ok
201			Created
202			Accepted
203			Non-Authoritative Information

204			No Content
205			Reset Content	
206			Partial Content

300			Multiple Choices

301			Moved Permanently	
302			Found
303			See Other

304			Not Modified

305			Use Proxy

307			Temporary Redirect
400			Bad Request
401			Unauthorized
402			Payment Required
403			Forbidden

404			Not Found
405			Method Not Allowed
406			Not Acceptable
